,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,S1_DiFi_FPLC_2uL,S2_DiFi_His_2uL,S3_CCCR_FPLC_2uL,S4_CCCR_His_2uL
GALM,2.92456714260332,3.1766874906299,3.22344120934214,3.3053399029244,3.46225764988683,3.33111788635302,3.57422946304155,3.32872237087975,3.37417170152042,3.52967766840395,3.92646700946729,3.08739300188541,1.89473910179792,1.36536450103624
PPP2R1A,4.53913075612885,4.59891716394691,4.55571347988989,3.56806531410524,3.20154998803994,4.0970716835637,0,2.87441215271289,2.96599568467055,0,1.36643426858247,3.88256926416918,3.99566630003699,3.766734328091
GGCT,3.20798235977364,3.02656962360087,3.22344120934214,3.15354276915406,2.6929426969253,2.59347357073696,3.67246702586082,3.67371097637403,3.59361346823549,3.64476072173517,3.38818285510002,2.58489654140964,2.34420950104055,2.51834436472457
GFUS,2.10307100065347,2.45099647857302,2.77359226354915,3.15354276915406,3.05109597513279,3.17900169483812,2.94757194825516,3.04225285179898,2.79948922561929,3.64476072173517,3.38818285510002,3.61463715409214,3.3943653313673,3.58915210607507
SERPINA1,0,0,0.875003141627423,2.98387517596422,2.88310498825785,2.3300996844005,3.76443962443268,3.1925863325403,3.25051537152042,3.94343374045177,3.59075491016882,3.08739300188541,6.24336536300091,6.81922624166319
PRCP,2.92456714260332,2.85899769615491,2.37018113537312,2.98387517596422,2.6929426969253,2.81610842924801,3.09656686713733,2.87441215271289,2.79948922561929,1.95492581589961,3.15244730840954,3.61463715409214,4.22269306995326,4.52793344246309
S100A11,2.35622457757371,2.19356649367957,2.93962089333755,2.569609625994,3.78185524220778,2.3300996844005,3.76443962443268,4.11144617124736,4.029514809433,3.64476072173517,3.59075491016882,2.24786502574996,3.19466101030515,2.05409420013722
EFNB1,2.75881510914874,3.1766874906299,0.875003141627423,2.79156098401869,2.6929426969253,3.0089353083393,3.57422946304155,3.1925863325403,3.78404158811829,3.64476072173517,3.59075491016882,3.28533118563263,2.96280221005881,3.1508960348579
VPS26A,3.64809754388623,3.55127575438274,3.56585998587379,1.57269329934315,1.49677083244156,2.00766221893124,2.94757194825516,2.87441215271289,2.79948922561929,2.94727461263241,3.15244730840954,3.88256926416918,3.72611869406106,4.31592623478702
UGDH,4.19418193916621,3.75597948588324,4.44958131497775,4.15251267662574,3.78185524220778,4.17956709654657,1.81472927128529,3.32872237087975,2.79948922561929,0,2.87052274241237,3.88256926416918,1.89473910179792,1.36536450103624
MTAP,3.64809754388623,3.84837850740358,3.664046907934,2.30719248234867,1.90039543102159,2.3300996844005,2.5935622517618,2.87441215271289,2.39465901808086,0.970107555577958,4.79864827802276,4.55451306838085,3.19466101030515,3.38660193243663
PLAUR,2.92456714260332,3.02656962360087,2.58594139324158,1.98618978584291,2.21543219554927,2.59347357073696,2.94757194825516,3.1925863325403,2.96599568467055,3.11634697017422,2.87052274241237,2.85791276130325,4.32407832263601,4.62329400757067
TIMP1,2.92456714260332,3.31264672194125,2.58594139324158,2.569609625994,2.21543219554927,2.59347357073696,2.37755694803547,2.20754373973101,2.61122754728392,2.94727461263241,2.87052274241237,2.85791276130325,5.12853429293766,5.02362273599417
ACAT2,3.55000735441012,3.43688942971458,3.56585998587379,2.569609625994,2.6929426969253,2.81610842924801,2.5935622517618,2.87441215271289,2.79948922561929,1.54496666834525,2.87052274241237,3.61463715409214,4.32407832263601,2.86901391440014
FTO,1.40496558913105,1.47880337355778,1.80819401344782,2.79156098401869,2.88310498825785,2.81610842924801,2.94757194825516,3.04225285179898,2.96599568467055,3.64476072173517,3.76835394492991,4.10844989385587,3.72611869406106,4.71274025418457
TPT1,3.07322314924793,3.1766874906299,3.22344120934214,2.98387517596422,2.47385402523252,2.00766221893124,3.57422946304155,3.45311269080306,3.37417170152042,1.95492581589961,3.59075491016882,3.4593596628752,3.19466101030515,2.51834436472457
ACTR2,3.8262858305465,3.55127575438274,3.56585998587379,3.15354276915406,3.05109597513279,3.33111788635302,2.37755694803547,2.87441215271289,3.11525809989854,0.970107555577958,3.59075491016882,3.88256926416918,2.68640964602462,2.05409420013722
PPP5C,3.44475821908342,3.75597948588324,3.75597511953115,2.569609625994,2.47385402523252,2.81610842924801,3.09656686713733,2.68444247498666,2.79948922561929,2.94727461263241,2.87052274241237,2.85791276130325,2.68640964602462,3.1508960348579
UBE2I,2.57151760075562,2.45099647857302,3.22344120934214,2.79156098401869,2.88310498825785,2.81610842924801,3.23160448319078,2.87441215271289,3.11525809989854,3.11634697017422,2.51978738675437,3.08739300188541,3.19466101030515,3.92483407018895
NT5DC1,2.75881510914874,2.45099647857302,3.34683393700941,2.569609625994,1.90039543102159,2.81610842924801,2.78139836589901,2.68444247498666,2.61122754728392,2.27379829704961,3.15244730840954,3.28533118563263,4.32407832263601,4.79696315513653
CANT1,4.48706763888571,4.48839257352859,4.00110120739748,1.57269329934315,1.49677083244156,2.00766221893124,2.5935622517618,2.46560955367675,2.13973876531186,3.11634697017422,3.76835394492991,2.85791276130325,2.96280221005881,3.766734328091
TUBA1B,2.57151760075562,2.66937237058984,2.77359226354915,2.569609625994,2.6929426969253,3.0089353083393,2.12341726605266,2.87441215271289,2.13973876531186,1.95492581589961,2.87052274241237,4.8947412723986,4.22269306995326,4.31592623478702
GLO1,2.10307100065347,2.66937237058984,3.46049946846037,2.79156098401869,2.6929426969253,2.81610842924801,2.78139836589901,3.45311269080306,3.25051537152042,2.27379829704961,3.15244730840954,3.08739300188541,3.8671785171225,3.1508960348579
CAB39,2.75881510914874,2.85899769615491,2.77359226354915,1.98618978584291,1.90039543102159,2.59347357073696,3.35507721763994,2.87441215271289,3.11525809989854,2.94727461263241,3.59075491016882,3.61463715409214,3.3943653313673,3.766734328091
ISOC1,2.92456714260332,3.31264672194125,2.58594139324158,3.3053399029244,2.21543219554927,3.17900169483812,2.12341726605266,2.68444247498666,2.79948922561929,1.54496666834525,2.87052274241237,3.28533118563263,3.99566630003699,4.52793344246309
CSTB,1.79583841036722,2.19356649367957,2.11638083409208,2.79156098401869,2.88310498825785,2.81610842924801,3.57422946304155,3.56762411237549,3.69196718812032,3.75133798498403,3.15244730840954,2.85791276130325,2.96280221005881,3.1508960348579
HNRNPD,4.53913075612885,4.3686929603325,4.39343610288359,2.98387517596422,2.6929426969253,3.0089353083393,2.12341726605266,3.04225285179898,2.79948922561929,1.54496666834525,3.38818285510002,2.24786502574996,2.68640964602462,1.36536450103624
GPHN,2.10307100065347,2.66937237058984,2.93962089333755,2.98387517596422,3.20154998803994,3.46871393829317,3.09656686713733,2.68444247498666,3.11525809989854,3.64476072173517,2.87052274241237,3.75481421385341,1.23834274816209,3.38660193243663
NECTIN2,2.75881510914874,2.19356649367957,2.37018113537312,3.3053399029244,3.20154998803994,3.0089353083393,3.57422946304155,3.32872237087975,3.37417170152042,3.11634697017422,3.59075491016882,1.16988102890304,2.96280221005881,3.1508960348579
