protein,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4
ENPP1,0,0,0,0,0,0,0,0,0,0.96708259,0.903929473,0.956200116,0,1.025359956,0,0,0,0,0,0,0,0,0,0,0,0,3.947899965,4.8103507,4.718023325,4.900544903,2.053047961,0,1.989531496,1.933211842,0,0,0,0
ENPP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064647663,1.266997295,1.333072201,0,0,0,0,0,0,0,0
ENPP4,1.58012073,0.961347078,0.864613417,0,0,0,0,0,0,0,0,0.956200116,0,0,0,1.61308057,1.944875303,1.632427638,0,0,0,0,1.858228386,1.937434512,1.873574051,2.321928095,2.89033867,3.163224167,3.238727139,2.823248847,3.76545739,2.069533795,4.234691467,3.916020257,3.581002772,0,0,0
ENTPD2,0,0,0.864613417,0,0,0,0,0,0,0.96708259,0,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.820760544,4.636617942,4.638782042,4.745751636,3.76545739,2.069533795,4.63044284,4.163037251,0,0,0,0
ENTPD5,0,0,1.401468483,0,0,0.921132385,1.442864021,0.9499485,1.851615862,1.950337883,1.853383544,1.933791208,0,0,0,0,0,0,1.098576504,1.05142317,2.246490367,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTPD6,0.996370196,0.961347078,1.401468483,0,1.543333959,0,1.839113208,0.9499485,1.453839514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTPD8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538745146,2.529815193,1.931003366,2.474606879,2.867824406,0,0,1.933211842,0,0,0,0
EPB41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064647663,1.266997295,0,0,0,0,0,0,0,0,0
EPB41L1,3.693731392,3.734726159,3.068269276,0.966587184,0,0.921132385,0,0,0,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.339375044,4.08036687,4.269468584,4.661645673,2.053047961,0,0,0,0,0,0,0
EPB41L2,3.900107558,3.833879792,4.052779486,2.749592966,2.532736393,2.669391044,0.894759661,0.9499485,1.453839514,2.941892081,2.9944429,3.242104959,3.117818628,3.214705715,2.813553664,1.021139762,0.963485218,1.632427638,1.714955817,2.076463354,1.806054709,1.889360771,1.459649025,2.2550935,1.473143559,1,5.243480877,5.350195761,5.335742029,5.39312178,3.385355532,0,2.795384697,1.933211842,0,0,0,0
EPB41L4B,2.993641837,3.251589451,1.401468483,0,0,0,0,0,0,0.96708259,0,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.646978729,4.636617942,4.793137891,4.972128369,2.053047961,0,1.989531496,1.933211842,0,0,0,0
EPB41L5,0.996370196,0.961347078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.090524219,4.08036687,4.269468584,3.540486385,2.053047961,0,0,0,0,0,0,0
EPCAM,5.693311085,5.853687007,5.393779452,3.523102099,3.749037927,3.312666648,3.126593151,3.230546315,3.141943704,4.935525123,4.060116522,4.913893759,3.531197087,2.850560031,3.176352815,2.843407086,2.744180469,2.868099561,4.706614804,4.343856945,4.893058371,5.004688779,3.523873876,3.246517199,3.168830955,3.459431619,7.348415965,7.156413304,6.979425618,7.299178361,7.364489443,7.791997629,7.105067142,7.060643035,5.938264613,3.724066632,4.970157178,4.016906216
EPDR1,0,0,0,0,0.968891745,1.880020556,1.442864021,1.924256156,2.419108186,0,0,0,1.546060213,0,0,1.61308057,1.944875303,1.632427638,0,0,1.168913826,1.234105921,2.426542826,2.2550935,2.186666421,2.321928095,0,0,0,0,0,0,0,0,3.581002772,3.724066632,2.598717113,2.600000002
EPHA1,1.994551864,1.941625202,0,0,0,0,2.149649735,2.240990417,1.453839514,0.96708259,0,0,0,0,0,1.021139762,0.963485218,2.053289965,0,0,0,0,2.170190716,1.529484238,1.873574051,2.584962501,0,0,1.266997295,0,0,0,0,0,0,0,0,0
EPHA2,4.516609989,4.509944325,3.326158875,0.966587184,0.968891745,0.921132385,2.405039482,2.911236342,0.90279184,0,0,0,0,0,0,1.61308057,1.53606782,1.632427638,0,0,0,0,2.426542826,1.937434512,2.443780137,2.584962501,4.339375044,4.2100965,4.371030583,3.717549031,2.053047961,0,1.989531496,0,0,0,0,0
EPHA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021139762,1.53606782,1.632427638,0,0,0,0,1.459649025,0.958592587,1.473143559,2,1.380514028,1.373875901,1.266997295,0,0,0,0,0,0,0,0,0
EPHB1,3.452825167,3.100475979,0,0,0,0,2.621946525,2.240990417,0.90279184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266997295,0,0,0,0,0,0,0,0,0
EPHB2,5.122222442,5.349766493,3.821059837,2.528836668,2.945112293,2.193583806,3.795922944,3.904682107,3.719788928,1.950337883,1.853383544,3.091114753,2.757142261,2.850560031,3.328436075,4.361832367,3.930758617,4.389102439,1.098576504,0,1.168913826,1.889360771,4.066410421,4.242209854,4.296512299,4.584962501,6.284908989,6.182387491,6.292102284,6.237447391,5.850417365,4.086405932,4.793881411,4.72090243,0,3.724066632,0,0
EPHB3,4.16306102,4.247579354,2.098758683,0,0,0,2.149649735,2.720458447,1.453839514,1.950337883,0,0,0,0,0,3.207295283,3.255521121,3.385643851,0,0,0,0,3.523873876,2.926737964,3.018820504,3.807354922,5.795007925,5.742134157,5.729124655,5.718611656,4.06601068,0,3.309356743,1.933211842,0,0,0,0
EPHB4,2.578907744,3.100475979,1.401468483,0,0,0,2.810463839,3.367096615,2.992305255,0,0,1.933791208,0,0,0,3.359759433,3.255521121,3.232871055,0,0,0,0,3.523873876,3.729484261,3.649121172,3.700439718,4.339375044,4.329116984,4.041997863,4.477120642,2.053047961,0,0,0,0,0,0,0
